date,industry_tone,emera_diff,blackberry_ltd_diff,barrick_gold_diff,thomson_reuters_diff,ballard_power_systems_diff,cenovus_diff,metro_diff,kinross_gold_diff,pembina_pipeline_diff,suncor_diff,magna_diff,fortis_diff,lightspeed_commerce_diff,canadian_natural_resources_ltd_diff,nutrien_ltd_diff,wheaton_precious_metals_diff,bausch_health_companies_diff,agnico_eagle_mines_ltd_diff,cameco_diff,telus_diff,constellation_software_diff,loblaw_companies_ltd_diff,imperial_oil_ltd_diff,ritchie_bros_auctioneers_diff,quebecor_diff,canopy_growth_diff,shaw_communications_diff,tc_diff,sun_life_financial_diff,enbridge_diff,canadian_national_railway_diff,canadian_pacific_railway_ltd_diff,manulife_financial_diff
2022-01-05,-0.002029189474230442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2022-01-06,-0.04899930986887506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-08,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-09,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-16,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-20,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-21,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-22,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-24,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-25,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-26,-0.0032973028063044505,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
