0,1,2,company
-1.8110002,-1.3823726,1.0519644,goldman sachs
3.1355164,-1.419999,-1.2797744,pfizer
-1.6146853,-1.7225425,1.4845626,visa
-1.7983398,0.6857538,-0.7798974,abbott laboratories
2.945069,-1.4201357,-1.2429031,blackrock
-1.9679036,-0.35400748,-0.038487844,kroger
-1.8078777,-0.3539289,-0.10148511,ford motor
-1.9019834,0.0033257022,-0.285801,duke
-1.2072294,1.5064762,-1.2196842,fiserv
1.939781,2.632354,0.8970609,dollar tree
2.3455315,2.931088,0.9430741,mastercard
1.7727484,0.5274671,3.124113,netflix
1.6490741,0.46181118,2.9430935,morgan stanley
-1.7602823,-0.48019758,0.04423306,chevron
-1.739676,-0.02256037,-0.32913515,abbvie
2.418999,-1.2144232,-1.1442786,twitter
2.4989834,-1.1971891,-1.1690596,prudential financial
-0.7653018,1.8618344,-1.503136,microsoft
-1.2601427,-1.271203,0.9570549,citigroup
-0.9262397,1.8066465,-1.4832444,amgen
2.1344876,-1.1078813,-1.0269328,eli lilly
-1.2365706,0.984394,-0.97058237,apple
-1.0429593,-1.4547085,1.1292458,norfolk southern
