date,industry_tone,emera_diff,blackberry_ltd_diff,gildan_activewear_diff,barrick_gold_diff,thomson_reuters_diff,ballard_power_systems_diff,cenovus_diff,metro_diff,kinross_gold_diff,pembina_pipeline_diff,altagas_ltd_diff,suncor_diff,magna_diff,fortis_diff,lightspeed_commerce_diff,canadian_natural_resources_ltd_diff,nutrien_ltd_diff,wheaton_precious_metals_diff,bausch_health_companies_diff,agnico_eagle_mines_ltd_diff,cameco_diff,telus_diff,constellation_software_diff,loblaw_companies_ltd_diff,imperial_oil_ltd_diff,ritchie_bros_auctioneers_diff,quebecor_diff,canopy_growth_diff,shaw_communications_diff,tc_diff,sun_life_financial_diff,enbridge_diff,canadian_national_railway_diff,canadian_pacific_railway_ltd_diff,manulife_financial_diff,dollarama_diff
2021-12-02,0.0032482071501469096,,,,,,,-0.000288733952809496,,,,,-0.000288733952809496,,,,,,,,,,,,,,,,,,,,0.002689329959460023,,,-0.000288733952809496,
2021-12-03,-0.0009807923983698478,,,,,-0.011887476271522316,,0.0009346723255470019,,,,0.001851341722411319,0.0009346723255470019,,,-0.0014386584979436579,,,,,,,,,,,,,,,,,,,0.0009590321304468335,,
2021-12-04,-0.0026587089142473086,,,,,,,,,,,,,,,-0.0002855458948605033,,,,,,,,,,,,,,,0.0011116313437779257,,,,,,
2021-12-05,-0.0026587089142473086,,,,,,,,,,,,,,,-0.0002855458948605033,,,,,,,,,,,,,,,0.0011116313437779257,,,,,,
2021-12-06,-0.0009562606383996023,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,
2021-12-07,-0.0009562606383996023,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,
2021-12-08,-0.0036652592071311206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2021-12-09,-0.00012054951514112741,,,,-0.0003402898705494708,0.006269552146914265,,0.000509618722402087,,-0.0013230638491095923,,,0.000509618722402087,,,,,,,,,,,,,,,,,,,,-0.0013230638491095923,,,,
2021-12-10,-0.0062165858510506026,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-11,-0.0062165858510506026,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-12,-0.0062165858510506026,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-13,-0.004269478965167985,,,0.006504700954643278,,-0.004683871822927379,,,,,,,0.006504700954643278,,,,,,,,,,0.004583735998689334,,,,,,,,,,0.006504700954643278,,0.006504700954643278,0.006504700954643278,
2021-12-14,-0.0012016889303612297,,,,,-0.019205400390539765,,0.004098386488238278,,,,,0.004098386488238278,,,,,,,,,,,,,,,,,,,-0.0018401361646958022,,,0.004098386488238278,0.004098386488238278,0.004765480804915755
2021-12-15,-0.00044730568254073926,,,,,-0.002610549596465876,,0.00065903103241688,,,,,0.00065903103241688,,,,,,,,,,,,,,,,0.00065903103241688,,,0.0013625412035041186,0.00065903103241688,0.005385577287479014,,,
2021-12-16,-0.0014136644288494902,,,,,-0.0014415214847166102,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007807896381894104,,,,
2021-12-17,-0.0014136644288494902,,,,,-0.0014415214847166102,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007807896381894104,,,,
2021-12-18,-0.0014136644288494902,,,,,-0.0014415214847166102,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007807896381894104,,,,
2021-12-19,-0.0014136644288494902,,,,,-0.0014415214847166102,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007807896381894104,,,,
2021-12-20,-0.0014136644288494902,,,,,-0.0014415214847166102,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007807896381894104,,,,
2021-12-21,0.0019281380832933221,,-0.0019281380832933221,,,0.000379554740805772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-22,-0.0021416214889308925,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-23,0.007585688176141466,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-24,0.007585688176141466,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-25,0.007585688176141466,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-26,0.00043323239018641966,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-12-27,-0.0024125606661307983,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-28,-0.0024125606661307983,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-29,-0.003935029827684792,,,,,-0.0034171675190450166,,,,,,,,0.005689887218102176,,,,,,,,,,,,,,,,,,,,,,,
2021-12-30,-0.003935029827684792,,,,,-0.0034171675190450166,,,,,,,,0.005689887218102176,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,-0.0021864713661451326,,,,,-0.001600204938739171,,,,,,,,,,,,,,,,,,,,,,,,,,0.012446038412415775,,,,,
2022-01-01,-0.0021864713661451326,,,,,-0.001600204938739171,,,,,,,,,,,,,,,,,,,,,,,,,,0.012446038412415775,,,,,
2022-01-02,-0.0021864713661451326,,,,,-0.001600204938739171,,,,,,,,,,,,,,,,,,,,,,,,,,0.012446038412415775,,,,,
2022-01-03,-0.0021864713661451326,,,,,-0.001600204938739171,,,,,,,,,,,,,,,,,,,,,,,,,,0.012446038412415775,,,,,
2022-01-04,-0.0017086781837937054,,-0.0006570281594850324,,,4.49260544346079e-05,,-0.0007352937594083853,,,,,-0.0007352937594083853,,,,,0.0004835933466687352,,,,,,,,0.024180588296153254,,,,,-0.0007352937594083853,,,,,-0.0007352937594083853,
2022-01-05,-0.003075675790345758,,,,,,,,,,,,0.006435890844109195,,,,,,,,,,,,,,,,,,-0.004086279901021712,,0.001046486316115316,,,,
2022-01-06,-0.00424792565090552,,,,,0.0015425044299022996,,0.0008798088568627953,,,,,-0.006071346654668158,,,,,,,,,-0.025634040582472623,,,,,,,,,,,0.0008798088568627953,,,0.0008798088568627953,
2022-01-07,-0.008510850808711761,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-08,-0.008510850808711761,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-09,-0.0031859816806053334,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2022-01-10,-0.002690367991389256,-3.918763695444534e-05,,,,-0.00017963715354578835,,,,,,,,,0.0009511620175731397,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,0.0015513295692948467,,,,,0.0017711503297017624,,,,,,,-0.0015513295692948467,,,-0.00022489956721677288,-0.0015513295692948467,,,,,,,,,,,,,,,,,,,,
2022-01-12,-0.005203918989083633,,,,,0.0001485777097001116,,,,,,,,,,,,-0.0008285356166954578,,,,,,,,,-0.0008285356166954578,,,,,,,,,,
2022-01-13,-0.005203918989083633,,,,,0.0001485777097001116,,,,,,,,,,,,-0.0008285356166954578,,,,,,,,,-0.0008285356166954578,,,,,,,,,,
