date,industry_tone,severn_trent_diff,tesco_diff,standard_chartered_diff,ocado_diff,national_grid_diff,bt_diff,imperial_brands_diff,spirax_sarco_engineering_diff,glencore_diff,lloyds_banking_diff,melrose_industries_diff,unilever_diff,british_american_tobacco_diff,croda_diff,bp_diff,astrazeneca_diff,reckitt_benckiser_diff,intertek_diff,shell_diff,sage_diff,vodafone_diff,rio_tinto_diff,rentokil_initial_diff,associated_british_foods_diff,barclays_diff,diageo_diff,prudential_diff,bae_systems_diff,pearson_diff,experian_diff,london_stock_exchange_diff,natwest_diff,schroders_diff,antofagasta_diff,glaxosmithkline_diff,burberry_diff,phoenix_group_holdings_diff,johnson_matthey_diff,entain_diff,intercontinental_hotels_diff,kingfisher_diff,aviva_diff
2021-12-02,-0.0017699158426608445,,,,,,,,,,,,,,,,,,,0.0006730863653686423,,,,,,-0.0010191732408444852,,,,-0.0016894860799682948,,,-0.0010191732408444852,,,0.0008479169490595145,,,,,,,
2021-12-03,3.0288674189325558e-05,,,,,,,,,,,,-0.0019978582093264302,,,,7.393217594610424e-05,,,-0.0009009397719559806,,,,,,-0.0008875246026615596,,,,,0.0004958960550099829,,,,,,,,,,,,
2021-12-04,0.001998099585283323,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-05,0.001998099585283323,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-06,0.001998099585283323,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-07,-0.000556030129048955,,,,,,,,,,,,0.0006703611449465691,,,,-0.0014339404193869313,,,0.004012262082543185,,,,,,,,,,,-0.0003057063109126383,,,,,,-0.003023096543193737,,,,,,
2021-12-08,-0.010132480086228697,,,,,,,,,,,,,,,,-4.041905188008517e-05,,,,,,,,,0.0009530386969619793,,,,,,,,,,-4.041905188008517e-05,,,,,,,
2021-12-09,0.00012104110128100142,,,,,,,,,,,,,,,,-0.0002577778275519978,,,0.0014856785110181395,,,,,,,,,,,,-7.470556937382573e-06,,,,,,,,,,,
2021-12-10,0.007417405218298797,,,,,-0.005989282628255668,,,,,,,,,,,,,,-0.007707968991689107,,,,,,,,,,,,,,-0.014736375073291702,,0.17776777996688656,,,,,,,
2021-12-11,-0.004790164879701151,,-0.0019248498933313492,,,,,,,,,,,,,,,,,,,,0.011165953883590391,,,,,,,,,,,,,,,,,,,,
2021-12-12,-0.004790164879701151,,-0.0019248498933313492,,,,,,,,,,,,,,,,,,,,0.011165953883590391,,,,,,,,,,,,,,,,,,,,
2021-12-13,0.0022517331722681838,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-14,-0.00010239785449947247,,,,,,,,,,,,-0.00853927019483408,,,,-0.004544342042575238,,,-0.01312761537551375,,,,0.00017643710650004586,,0.0002341832656787411,,0.005315210949085959,,,0.0005590782900812709,0.0005016938475296412,,,,,,,,,,,
2021-12-15,0.0004931781395389852,,,,,-0.0012763217992971011,,,,,,,,,,,,,,,,,,,,0.011799216965356133,,,,,,,,,,,0.0011340409805360207,,,,,,
