0,1,2,company
-0.6784575,-1.1492794,-0.06653669,ball
-0.8667691,0.6247606,0.054164216,monster beverage
-0.25876692,-1.186232,-0.24346209,digital realty
-1.2847177,-1.4758114,0.5987756,emerson electric
-0.79161143,-0.5772192,-0.25005296,yum brands
-0.6559201,-0.79837304,-0.5694043,medtronic
-0.8918594,-0.63343704,-0.7495317,hess
-0.22509867,-0.8883779,-0.3007882,dollar general
-1.276204,-0.9034808,-0.9029937,marvell technology
-1.6131028,0.90068984,-0.740905,lam research
-0.84133226,-0.7179273,-1.0103458,aflac
0.29277632,-1.5935643,0.27398488,hilton worldwide holdings
0.31815165,-0.28275576,-0.7488395,union pacific
0.42226595,-1.4587352,0.25277123,schlumberger
-0.093014695,-1.0424398,-1.630356,cloudflare
-1.8175986,0.55571526,1.2578213,accenture
-0.43225423,-0.8108233,-1.3279078,amgen
0.20843655,-0.25599325,-1.390125,eli lilly
-0.9887753,-0.9524483,-0.636493,lululemon athletica
-0.33472165,-1.9758383,1.6197691,cadence design systems
0.0852216,-1.8442382,1.081636,hp
1.6216633,-1.4353476,-0.63944083,paypal holdings
-1.9058551,0.9845725,0.5009907,ansys
-0.9120907,0.31577432,-1.0013309,analog devices
0.19773206,0.8003615,1.2467463,fedex
7.431399,3.2636106,3.2797406,starbucks
-2.731527,0.36273965,0.6444315,halliburton
-0.88106287,1.5624173,-0.16314729,servicenow
-2.2650585,0.80309904,0.5913237,equifax
-0.05289284,-1.5838479,0.5530555,microchip technology
0.02631984,0.2361886,-2.005451,netflix
-1.8081897,-0.7853264,0.44261217,morgan stanley
-2.5010757,1.0573802,-0.08140463,allstate
5.3335342,1.1193542,-2.9659784,twitter
-0.63156766,3.855756,-0.27956787,citigroup
-0.8764631,-0.08661985,1.3781636,raytheon technologies
-0.19621232,-0.51980865,0.2779183,american express
0.7723432,-1.220158,0.25397852,northrop grumman
2.0697997,-1.938548,-1.0617298,eaton
2.113115,-1.1688311,-0.73469806,pfizer
1.6136506,-1.218277,-1.132533,visa
-0.5412298,0.05251177,-1.8928949,charles schwab
-0.42029625,-0.3881835,2.7784283,adobe
