,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf,n23_rec,n23_conf,n24_rec,n24_conf
0,ball,biogen,0.8027951717376709,philip morris,0.7051868438720703,abbvie,0.7020976543426514,eli lilly,0.6935874819755554,bristol myers squibb,0.678539514541626,amgen,0.6521984338760376,gilead sciences,0.620135486125946,intel corporation,0.6118060350418091,cigna,0.5597712993621826,pfizer,0.539982259273529,hilton worldwide holdings,0.5314003229141235,ansys,0.5228691101074219,tesla,0.4907083809375763,baxter,0.4884936511516571,resmed,0.4808606207370758,moderna,0.47250252962112427,mondelez,0.4618104100227356,raytheon technologies,0.4390287697315216,comcast,0.43819499015808105,uber technologies,0.4304695129394531,alphabet,0.41081738471984863,devon,0.39797836542129517,cisco systems,0.39560768008232117,allstate,0.3937898278236389,kinder morgan,0.37253010272979736
1,monster beverage,servicenow,0.8566762208938599,medtronic,0.8008603453636169,palo alto networks,0.7381628751754761,microsoft,0.7266346216201782,prudential financial,0.6911016702651978,regeneron,0.6816065311431885,charter communications,0.646388053894043,resmed,0.6442264914512634,twilio,0.5971384644508362,apple,0.5916339159011841,meta platforms,0.5834319591522217,qualcomm,0.5804633498191833,cadence design systems,0.5632286071777344,allstate,0.562481164932251,adobe,0.5433979034423828,intel corporation,0.5400104522705078,aptiv,0.538344144821167,berkshire hathaway,0.5299236178398132,kinder morgan,0.5275252461433411,ansys,0.5245182514190674,nvidia,0.523520827293396,alphabet,0.5162537693977356,comcast,0.5155230760574341,synopsys,0.5016389489173889,lam research,0.49181893467903137
2,digital realty,arista networks,0.8759874701499939,simon property,0.8286231756210327,caterpillar,0.7475453019142151,cummins,0.7235618829727173,cisco systems,0.7056714296340942,paccar,0.6632329821586609,eaton,0.6595509052276611,analog devices,0.5115537047386169,broadcom,0.4605322778224945,dollar tree,0.4483434557914734,micron technology,0.41914716362953186,microsoft,0.30081480741500854,adobe,0.29669684171676636,comcast,0.2726377844810486,hp,0.2680537700653076,paychex,0.2661147713661194,progressive,0.2623696029186249,verizon communications,0.2606533169746399,vmware,0.25997042655944824,nvidia,0.24009805917739868,baxter,0.20843809843063354,motorola solutions,0.19125817716121674,thermo fisher scientific,0.18776056170463562,exxon mobil,0.18255288898944855,hilton worldwide holdings,0.1618412733078003
3,emerson electric,schlumberger,0.9762007594108582,halliburton,0.9740536212921143,baker hughes,0.9715127944946289,starbucks,0.7014614939689636,exxon mobil,0.44869279861450195,pepsico,0.42989522218704224,prudential financial,0.4151366353034973,conocophillips,0.41463565826416016,valero,0.4119686782360077,occidental petroleum,0.38844436407089233,monster beverage,0.3726312816143036,yum brands,0.3724517524242401,mondelez,0.37189242243766785,motorola solutions,0.34635451436042786,hess,0.34418320655822754,chevron,0.34292834997177124,honeywell,0.3372038006782532,medtronic,0.334823340177536,ansys,0.33055585622787476,regeneron,0.32650822401046753,mcdonalds,0.31478431820869446,verizon communications,0.27547499537467957,expedia,0.27061280608177185,progressive,0.2704904079437256,marriott,0.270374596118927
4,yum brands,pepsico,0.9778328537940979,mondelez,0.941230833530426,starbucks,0.880050539970398,netflix,0.7504550814628601,mcdonalds,0.7366756200790405,chipotle mexican grill,0.7149351239204407,lam research,0.6911945343017578,prudential financial,0.6464091539382935,twitter,0.6411948800086975,regeneron,0.6149375438690186,medtronic,0.530452311038971,twilio,0.5103951692581177,eli lilly,0.4980422854423523,paypal holdings,0.4814551770687103,comcast,0.44330936670303345,halliburton,0.4417080283164978,cloudflare,0.43398135900497437,intel corporation,0.41237497329711914,mastercard,0.3949487507343292,edwards lifesciences,0.39305973052978516,schlumberger,0.38259729743003845,visa,0.38000500202178955,baker hughes,0.37759435176849365,emerson electric,0.3724517524242401,american express,0.36827531456947327
5,medtronic,regeneron,0.8932997584342957,lam research,0.8514096736907959,prudential financial,0.8383340239524841,monster beverage,0.8008602857589722,kinder morgan,0.784217119216919,chipotle mexican grill,0.7745428085327148,resmed,0.7368801832199097,servicenow,0.7113059759140015,twitter,0.650576114654541,mondelez,0.6466137766838074,mcdonalds,0.6389026045799255,twilio,0.6346535682678223,charter communications,0.6272505521774292,netflix,0.6105248928070068,intel corporation,0.6031324863433838,american express,0.5832289457321167,cloudflare,0.5675634145736694,visa,0.5453341007232666,mastercard,0.5434859991073608,ansys,0.5434510111808777,yum brands,0.530452311038971,pepsico,0.50310218334198,paypal holdings,0.4889069199562073,edwards lifesciences,0.485723078250885,starbucks,0.4761967658996582
6,hess,american,0.9563584923744202,occidental petroleum,0.8769553899765015,intercontinental exchange,0.6889364719390869,exxon mobil,0.6407553553581238,anthem,0.5982455611228943,wells fargo,0.5937725305557251,aflac,0.5898938775062561,lululemon athletica,0.5892870426177979,morgan stanley,0.5837907195091248,thermo fisher scientific,0.5795896649360657,edwards lifesciences,0.5565342307090759,chevron,0.5379160642623901,conocophillips,0.4887782335281372,agilent technologies,0.48812490701675415,united parcel service,0.48321548104286194,marriott,0.48164302110671997,ansys,0.4725772440433502,goldman sachs,0.45476120710372925,citigroup,0.44956791400909424,blackrock,0.42615050077438354,motorola solutions,0.42278581857681274,marathon petroleum,0.4207688570022583,dollar general,0.4154199957847595,accenture,0.4148901700973511,autozone,0.41071489453315735
7,dollar general,aflac,0.959545373916626,accenture,0.9512505531311035,fedex,0.9374599456787109,united parcel service,0.935184895992279,intercontinental exchange,0.8893395662307739,fiserv,0.6355436444282532,dollar tree,0.5736486315727234,occidental petroleum,0.54715496301651,simon property,0.5463742613792419,kinder morgan,0.5412734746932983,american,0.43982556462287903,hess,0.4154200553894043,abbvie,0.3949791193008423,motorola solutions,0.35378676652908325,amgen,0.3369140028953552,boeing,0.32949286699295044,oracle,0.29223236441612244,bristol myers squibb,0.2891419231891632,lam research,0.2656320333480835,gilead sciences,0.2634505331516266,thermo fisher scientific,0.25741124153137207,adobe,0.2392294704914093,verizon communications,0.23674775660037994,cigna,0.23599332571029663,progressive,0.23175732791423798
8,marvell technology,advanced micro devices,0.9545727372169495,microchip technology,0.9396712779998779,broadcom,0.8211266994476318,analog devices,0.7968852519989014,vmware,0.6219866871833801,blackstone,0.5389609336853027,twilio,0.5189123153686523,adobe,0.5128228068351746,servicenow,0.4591591954231262,palo alto networks,0.4502907991409302,marathon petroleum,0.435673326253891,paypal holdings,0.41939422488212585,cerner,0.3969354033470154,arista networks,0.3962370753288269,ford motor,0.3644977807998657,intel corporation,0.34624651074409485,caterpillar,0.3396010994911194,oracle,0.33427196741104126,eaton,0.32076162099838257,paccar,0.31702670454978943,micron technology,0.3121247887611389,aptiv,0.3029085695743561,honeywell,0.30131110548973083,motorola solutions,0.29485297203063965,microsoft,0.2884281873703003
9,lam research,chipotle mexican grill,0.8723064661026001,regeneron,0.871495246887207,netflix,0.859845757484436,medtronic,0.8514096736907959,prudential financial,0.8434785604476929,mondelez,0.7922277450561523,twitter,0.789028525352478,kinder morgan,0.7475953102111816,american express,0.6919507384300232,yum brands,0.6911945343017578,mastercard,0.6878190040588379,cloudflare,0.682628870010376,mcdonalds,0.6557731032371521,visa,0.6454395055770874,pepsico,0.6423734426498413,resmed,0.6337432861328125,twilio,0.6001093983650208,intel corporation,0.5992693901062012,paypal holdings,0.5148487091064453,charter communications,0.5130281448364258,servicenow,0.5053650140762329,monster beverage,0.4918188452720642,starbucks,0.48972561955451965,ansys,0.47600066661834717,blackstone,0.4636648893356323
