0,1,2,company
-0.90651244,0.009263425,0.5103225,ritchie bros auctioneers
-0.9705171,-0.029966682,0.43613312,metro
-0.95676416,-0.016898112,0.3970081,pembina pipeline
-0.67143846,0.040827025,0.22019938,emera
-0.63137805,0.006340436,0.20247097,thomson reuters
-0.60166204,0.0230938,0.11199335,canadian pacific railway ltd
4.9334497,3.3915825,0.114914976,loblaw companies ltd
5.011494,-3.3415787,0.11842022,cenovus
-0.42674747,0.02185882,0.21212663,canopy growth
-0.37896574,-0.008268472,-0.025656251,manulife financial
-0.44741204,-0.06176461,-0.0680917,tc
-0.12677512,-0.07281806,-0.036873598,sun life financial
-0.33426082,0.0012420104,-0.098187625,canadian natural resources ltd
-0.39108798,-0.0016563488,-0.056800783,quebecor
-0.38498518,-0.036749512,-0.079170085,kinross gold
-0.377721,-0.027122559,-0.118997216,barrick gold
-0.27630234,0.0012583616,-0.10003225,agnico eagle mines ltd
-0.23890528,-0.026119443,-0.24179813,blackberry ltd
-0.36253858,0.027062701,-0.051004864,telus
-0.3268871,0.005632085,-0.10926624,magna
-0.3647273,0.034768008,-0.14234792,altagas ltd
-0.19224235,-0.007797408,-0.32606605,imperial oil ltd
-0.26044226,0.014329701,-0.22739911,enbridge
-0.16876006,0.05186557,-0.21533637,suncor
0.1381942,-0.00981173,-0.16650175,lightspeed commerce
-0.14761367,0.040962085,-0.0903036,nutrien ltd
-0.13848905,-0.02953535,-0.16975378,gildan activewear
