0,1,2,company
-1.5102022,-0.32047006,-0.5372412,ball
-1.3477535,1.0107571,-0.74995965,monster beverage
-0.9830153,-0.3637409,-0.97813046,digital realty
-0.9671158,-0.85119915,0.8475704,emerson electric
-1.1195432,-0.66997373,0.3004816,yum brands
-1.3346009,-0.9134135,0.14175732,medtronic
-1.701355,-0.017991208,-0.7479472,consolidated edison
-0.40603366,-1.3323777,0.09999896,dollar general
-1.4456162,-0.3365803,-0.7769642,hess
-2.014789,-0.16044387,1.1031351,marvell technology
-1.82919,1.6434478,-0.50058955,lam research
-1.3630042,-0.17963752,-0.84115237,aflac
-1.1000745,-0.5292243,-0.21386789,hilton worldwide holdings
-1.8143952,-0.17823447,-0.82400995,union pacific
-1.1113313,-1.1848168,-1.3585358,schlumberger
-0.97492933,-0.47196177,0.7547508,cloudflare
-0.85131085,1.1364787,0.5083953,accenture
-0.18476795,-1.8789968,-1.1092404,amgen
-1.831039,0.14721502,0.78896993,eli lilly
-0.60599244,-0.5587919,-1.018309,lululemon athletica
-1.4628497,-0.5685049,1.152646,cadence design systems
-0.58138204,-0.8423875,2.7272723,hp
8.6974745,0.72589695,-3.1110475,altria
-0.72186035,-1.590817,-1.7060872,paypal holdings
-1.2108167,1.7690533,0.5406042,analog devices
-1.1846367,1.5487418,1.2999545,fedex
-0.0829666,-1.1172682,1.0343204,starbucks
-0.19322897,0.28628507,1.0149059,halliburton
-1.1974189,1.4408541,-0.38569275,oreilly automotive
-1.066642,1.6488867,0.03196748,servicenow
-0.56062555,2.5608358,0.11637215,archer daniels midland
-1.4151703,-0.5226962,-0.111496024,equifax
0.2783898,-2.0708568,0.71932906,microchip technology
-0.46787402,0.080349185,-0.6100216,netflix
-0.42326158,-1.0949601,-1.461186,morgan stanley
0.5865572,4.500767,-1.2237118,allstate
-0.33337563,0.713261,0.6170748,twitter
-1.6419495,-0.3976688,0.7026176,citigroup
6.4755645,-0.09776739,2.0792735,raytheon technologies
4.9123096,1.2655609,5.634483,american express
4.8978734,1.3328928,5.720268,northrop grumman
3.6515572,-1.417181,0.9696161,eaton
-0.048525013,-1.0237702,3.36615,pfizer
0.014836901,-1.287121,-0.017113421,visa
-1.343953,-0.14555053,-0.5679078,home depot
-0.8478332,-0.08489233,0.74856496,charles schwab
-0.46532533,4.583737,0.2120767,adobe
-0.15816176,-0.9701219,0.71281743,comcast
0.8521493,-2.268153,1.030568,fiserv
-1.1839248,-0.36263508,-0.14381135,charter communications
-0.904366,-0.50634223,-1.9601771,arista networks
0.2335544,3.7160106,-0.5702561,cisco systems
-0.32419485,-0.090729795,2.062919,tyson foods
0.4993845,-1.3847697,-2.9043474,dominion
6.2576456,0.46196336,-2.3408937,fortinet
0.7006104,-0.5230756,-0.7779361,philip morris
6.1697216,0.3458975,-2.4546957,advanced micro devices
-0.98291427,-0.9050484,-0.2423505,marriott
-2.0180385,1.9441898,0.11218314,blackstone
-0.4068615,0.30700293,-1.2154509,thermo fisher scientific
0.1520854,-1.5626429,-0.1018683,resmed
-0.06760189,-0.95314497,-2.9339025,boeing
1.384776,-2.3575797,-0.4587714,delta air lines
-2.0813057,-0.4449372,0.6457446,caterpillar
-1.9404436,-0.25416243,0.7936385,moderna
0.669591,4.1416364,-0.1518995,paychex
-1.8815826,2.7528806,0.5724114,costco wholesale
0.47855628,-1.4929514,-0.6866845,conocophillips
1.5210063,4.0129395,0.71926737,dollar tree
0.86857295,-1.8041637,-2.1611047,unitedhealth
-2.470957,-0.57842046,0.31557152,aptiv
-1.7479013,2.4629157,1.2008251,kimberly clark
-0.7744095,-0.85808873,-0.86264366,cerner
0.41586682,-1.5597967,-3.8740437,intercontinental exchange
0.05641774,-1.52135,-2.0486565,expedia
-1.8616143,-0.90059435,0.46030664,american
-0.20784742,0.5294228,2.0607972,boston scientific
-1.1100339,0.08832912,-1.1431711,dow
1.2794691,1.9077854,-2.60245,prudential financial
-1.2708046,2.1926022,-0.008582765,microsoft
0.06818632,-1.4097126,-4.3763227,goldman sachs
0.26474085,4.1796207,-0.8916104,chipotle mexican grill
-0.2963925,-0.07430567,0.7860924,verizon communications
-0.03149313,-1.0478543,-0.29530352,synopsys
-0.097452626,-1.4586809,2.08799,duke
1.5812497,-1.341473,2.9155598,meta platforms
