date,industry_tone,severn_trent_diff,tesco_diff,standard_chartered_diff,ocado_diff,national_grid_diff,bt_diff,imperial_brands_diff,spirax_sarco_engineering_diff,glencore_diff,lloyds_banking_diff,melrose_industries_diff,unilever_diff,compass_diff,british_american_tobacco_diff,croda_diff,bp_diff,astrazeneca_diff,reckitt_benckiser_diff,intertek_diff,shell_diff,sage_diff,rio_tinto_diff,vodafone_diff,associated_british_foods_diff,barclays_diff,diageo_diff,prudential_diff,bae_systems_diff,pearson_diff,experian_diff,london_stock_exchange_diff,natwest_diff,schroders_diff,antofagasta_diff,glaxosmithkline_diff,burberry_diff,phoenix_group_holdings_diff,johnson_matthey_diff,entain_diff,intercontinental_hotels_diff,kingfisher_diff,aviva_diff
2022-01-01,0.005440368295639035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-02,-0.001031620457991047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,0.0001755517328454291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009477408624097831,,,,,,,,,,,,,
2022-01-04,-0.004318752081682259,,,,,,,,,,,,,,,,,,,,-0.0002812684978014991,,,,,0.0023642716615888282,,,,,,,,,,,,,,,,,
2022-01-05,-0.0011244813486844818,,,,,,,,,,,,,,,,,,,,0.006040354476742847,,,,,,,,,,,,,,,,,,,,,,
2022-01-06,0.0009090247464810546,,,,,,,,,,,,,,,,,,,,0.00020678952497914964,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,-0.0014266480808366455,,,,,,,,,,,,,,,,,,,,,,,,,0.0047635746926466375,,,,,,,-0.0028227296888470796,,,,,,,,,,
2022-01-08,-0.0014266480808366455,,,,,,,,,,,,,,,,,,,,,,,,,0.0047635746926466375,,,,,,,-0.0028227296888470796,,,,,,,,,,
2022-01-09,-0.00527416062462721,,,,,,,,,,,,,,,,,,,,,,,2.7285830639461883e-05,,,,,,,,,,,,,,,,,,,
2022-01-10,-0.001778537027132912,,,,,0.00025809580057812817,,,,,,,,,,,,,,,-0.0028203463667328802,,0.005139406252068412,,,,,,,,,,,,,,,,,,,,
2022-01-11,-0.0011603494798957425,,0.0006868155075577919,,,,,,,,,,0.00045466622575053063,,,,,,,,0.0008061203629792187,,,0.0015292678897424559,,,,,,,,,,,,2.178303427984008e-05,,,,,,,
2022-01-12,0.0005224601272730959,,,,,,,,,,,,,,,,,,,,-0.0006123058600965974,,,,,,,,,,,,,,,,,,,,,,
