date,industry_tone,becton_dickinson_diff,cerner_diff,microsoft_diff,nvidia_diff,paccar_diff,lam_research_diff,lockheed_martin_diff,exelon_diff,twitter_diff,walt_disney_diff,alphabet_diff,yum_brands_diff,broadcom_diff,duke_diff,netflix_diff,apple_diff,charles_schwab_diff,fiserv_diff,micron_technology_diff,dollar_tree_diff,wells_fargo_diff,equifax_diff,mckesson_diff,baxter_diff,edwards_lifesciences_diff,goldman_sachs_diff,american_diff,expedia_diff,meta_platforms_diff,general_motors_diff,intuitive_surgical_diff,ford_motor_diff,conocophillips_diff,eaton_diff,bristol_myers_squibb_diff,northrop_grumman_diff,starbucks_diff,nike_diff,cognizant_technology_solutions_diff,qualcomm_diff,tesla_diff,johnson_controls_diff,aflac_diff,valero_diff,accenture_diff,dollar_general_diff,constellation_brands_diff,ansys_diff,marvell_technology_diff,devon_diff,metlife_diff,blackrock_diff,marathon_petroleum_diff,intercontinental_exchange_diff,berkshire_hathaway_diff,comcast_diff,emerson_electric_diff,moderna_diff,union_pacific_diff,pepsico_diff,schlumberger_diff,medtronic_diff,pfizer_diff,electronic_arts_diff,prudential_financial_diff,republic_services_diff,palo_alto_networks_diff,cadence_design_systems_diff,fedex_diff,mastercard_diff,baker_hughes_diff,cummins_diff,marriott_diff,american_express_diff,vertex_diff,eli_lilly_diff,xcel_diff,philip_morris_diff,abbvie_diff,walmart_diff,exxon_mobil_diff,kroger_diff,arista_networks_diff,abbott_laboratories_diff,thermo_fisher_scientific_diff,us_bancorp_diff,occidental_petroleum_diff,dominion_diff,hess_diff,ebay_diff,verizon_communications_diff,digital_realty_diff,citigroup_diff,chevron_diff,prologis_diff,cisco_systems_diff,old_dominion_freight_line_diff,agilent_technologies_diff,illumina_diff,ross_stores_diff,boeing_diff,vmware_diff,honeywell_diff,biogen_diff,dexcom_diff,intel_corporation_diff,anthem_diff,mcdonalds_diff,paypal_holdings_diff,united_parcel_service_diff,alexandria_real_estate_equities_diff,morgan_stanley_diff,synopsys_diff,halliburton_diff,eversource_diff,visa_diff,workday_diff,advanced_micro_devices_diff,caterpillar_diff,amgen_diff,simon_property_diff,archer_daniels_midland_diff,coca_cola_diff,norfolk_southern_diff,charter_communications_diff,oracle_diff
2022-03-01,-0.000631144975170967,,,0.007588112282827624,,,,,,-0.0014798082100450595,,,,,-0.0012480950601587468,0.007006968779106545,-0.0014780599737443732,,0.0010914389905304679,,-0.004749360836718567,,,,,,0.0006163946784665294,,0.00243580301412848,,,,3.246359421184232e-05,,,,,0.007423963995064217,,,,,,,,,,,,,,,0.0010914389905304679,,,,,,,0.005426349770375767,,,,0.0002675810111919125,,,,,,-0.007117455971880251,0.00016662385479637184,,,,,,0.0002675810111919125,,,-3.801658069465402e-05,0.012643156987182966,0.0032282276630111327,0.007682585231843401,,,,,,,,,,,0.0010734008584624825,-0.001076421985847717,,,,,,,,,,,,,,,,,,0.0002291676183803007,,,,0.0007443892376676489,0.026560272027893496,,,0.0005507176292942921,,,,-0.0012480950601587468,,
2022-03-02,-0.000631144975170967,,,0.007588112282827624,,,,,,-0.0014798082100450595,,,,,-0.0012480950601587468,0.007006968779106545,-0.0014780599737443732,,0.0010914389905304679,,-0.004749360836718567,,,,,,0.0006163946784665294,,0.00243580301412848,,,,3.246359421184232e-05,,,,,0.007423963995064217,,,,,,,,,,,,,,,0.0010914389905304679,,,,,,,0.005426349770375767,,,,0.0002675810111919125,,,,,,-0.007117455971880251,0.00016662385479637184,,,,,,0.0002675810111919125,,,-3.801658069465402e-05,0.012643156987182966,0.0032282276630111327,0.007682585231843401,,,,,,,,,,,0.0010734008584624825,-0.001076421985847717,,,,,,,,,,,,,,,,,,0.0002291676183803007,,,,0.0007443892376676489,0.026560272027893496,,,0.0005507176292942921,,,,-0.0012480950601587468,,
2022-03-03,-0.0006045589761442172,,,-0.0011338099774554574,-0.0012518651796469015,,,,,-0.0009016240136026086,-0.0013420429521040361,,,0.0017174507140359566,,0.0017777942437681752,,0.006610564982150217,,,,,0.006388248970360534,,,,,-0.0025733532626313962,,,,,,,,,,,,,0.0007838562024010424,0.0006045589761442172,,,,,,,,,,,,,,0.005930588041045701,,,,,,,,-0.001234517951777237,,,,,,,,,,,,,-0.001311822894883279,,,,0.0043818592124140986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009756201696012424,,,,,-0.0020180718646714115,,,,,,,,,,
2022-03-04,-0.0006045589761442172,,,-0.0011338099774554574,-0.0012518651796469015,,,,,-0.0009016240136026086,-0.0013420429521040361,,,0.0017174507140359566,,0.0017777942437681752,,0.006610564982150217,,,,,0.006388248970360534,,,,,-0.0025733532626313962,,,,,,,,,,,,,0.0007838562024010424,0.0006045589761442172,,,,,,,,,,,,,,0.005930588041045701,,,,,,,,-0.001234517951777237,,,,,,,,,,,,,-0.001311822894883279,,,,0.0043818592124140986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009756201696012424,,,,,-0.0020180718646714115,,,,,,,,,,
2022-03-05,-0.001785049728405725,,,,,,,,,0.0003927461317830977,,,,,,,,,,,,-0.00023782221031474256,,,,,-0.00023782221031474256,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006332492279874157,,,,,,0.009343628715556145,,,0.0019165950970879296,,,,,,,-0.00022720681593139643,,,,,,,,,,0.0020232452070982464,-0.012037018501649087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00022720681593139643,,,,,,,,,,
2022-03-06,-0.0023324483536355444,,,0.008834286085583213,,,,,,0.0005352199756704023,,0.003065147047783297,,,,0.0002370475395919746,0.003065147047783297,,,,,,,,,,-0.00522119270550742,,,0.003065147047783297,,,,,,,,,,,,,,,,0.0006367941516433214,,,,,,,,,,0.0022750919571827336,,,,,,,,,,,,,,-0.001509479372020082,-0.002598398687178932,,,,-0.000283225865626722,,,,,,0.003065147047783297,-0.0018267533401785628,,,,,,-0.0018876702058719108,,,,,,,6.384581280069685e-05,,,,,,,-0.0015111722220581313,,,,,,,,,-0.001509479372020082,,0.002860669445855905,,,,-0.002598398687178932,,,,,,,,,,-0.003470993533822332
2022-03-07,-0.0023557024235799327,,,,,,,,,0.002148697119006493,,,-0.0019379711060945031,,,0.0007321938191843706,0.0023557024235799327,,,,,,,,,,0.0008510995662265974,,0.0019302009275166724,,,,,,,,1.483735689454405e-05,-0.0019379711060945031,,,,,,,,5.692734230181105e-05,,,,,,,,,,,,,,,-0.0019379711060945031,,,-0.0010809443774916871,,,,,,,-0.002285038438862708,,,,-0.002285038438862708,,,,,,0.0016327228210556133,0.0013462471929194119,,,,,,,1.483735689454405e-05,,,,,,,,,,,,,-0.0019416127205063782,,,,,,,,,,,,,0.0013462471929194119,,-0.002191299270860581,,,,,,,,,,
2022-03-08,-0.002356287689950623,,,0.0040315452869820675,0.0040315452869820675,,,,,-0.00036407263527136113,,,0.0022171625975715616,,,0.0012330232497633315,-0.0001078551810530337,,,,,,,,,,0.0017352738231816382,,,,,,,,,,,-0.00264953215959356,-0.0001078551810530337,,,,,,,,,,,,,,,,,,,,,,0.0004732919307385468,0.000761478565819795,,,,,,,,,-0.002012339427652822,,,,-0.0031003116983203474,,,,,,0.0018033631337416962,,,,,,,0.000761478565819795,,,,,,,,,,0.0026072816259371297,,,,,,,,,,,-0.0001078551810530337,-0.0001078551810530337,,,,,,,-0.002012339427652822,,,,,,,,,0.002496830889416559,
2022-03-09,-0.0014509522460673535,,,0.00725911686604744,,,,,,-0.001523422315066388,,,,,,0.0006515506771395324,,-0.00096217516706006,,,,,,,,,0.00135306048665942,,,,,,,,-0.002390383514421098,,,-0.0026642006103124545,,,,,,,,,,,,,,,0.002121224980042808,,,,,,,,,,,-0.017436317733966096,,,,,,0.002727486001374356,-0.0005982280818015017,,,,-0.0005982280818015017,,0.003498269850541978,,,,0.003392359955741564,,0.0061786375713321065,,,,,,,,,,,-0.002889325531710428,-0.007254324395188197,,,,,,,0.00610673472790981,,,,,,,-0.010131289685304665,,,,0.0023041363290651007,,-0.0020949888621806948,,-0.0005982280818015017,,,,0.002121224980042808,,,,,,-0.00096217516706006
2022-03-10,-0.0011019545340955434,,0.004447163358756419,0.002484121329867475,-0.002014766675192282,,,,,-0.00019960311130575283,,0.004447163358756419,,,,0.0014716234172366866,,,,-0.001139597108707092,,,,,,,-0.00024967217409386914,,0.0009275376533321561,,,,,-0.0021526181405122817,,-0.023944224358237176,,,,,0.003950682143715823,,,,,,,,,,,,-0.0021214545791983304,,,,,,,,,,,-0.004615598353268657,,,,,,,,,,,,,-0.0014890503788907955,,,,0.0023033360142233825,,5.9654525409708926e-05,,,,,0.0030033763750944254,,-0.0019992327776180746,,,,-0.00026722928274708346,,,,,,,,,,,,,-0.002014766675192282,,-0.0009424081358421032,,,,-0.0012968690828027278,,,,,,-0.001139597108707092,,,,,,,,0.0008355322386714258
